year,month,rank,book_name,author,pub_by,pub_day,price,genre1,genre2,genre3,book_url
2001,7,1,이윤기의 그리스 로마 신화 1,이윤기 지음,웅진지식하우스,2000-06-26,12150,인문학,신화/종교학,그리스로마 신화,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=239808
2001,7,2,누가 내 치즈를 옮겼을까?,스펜서 존슨 지음 / 이영진 옮김,진명출판사,2000-03-15,6300,자기계발,성공,성공학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=226139
2001,7,3,The Blue Day Book 누구에게나 우울한 날은 있다,브래들리 트레버 그리브 지음 / 신현림 옮김,바다출판사,2005-01-03,7020,에세이,사진/그림 에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=276029
2001,7,4,손님,황석영 지음,창비,2001-06-01,11700,소설/시/희곡,한국소설,2000년대 이후 한국소설,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280074
2001,7,5,언제까지나 너를 사랑해,로버트 먼치 글 / 안토니 루이스 그림 / 김숙 옮김,북뱅크,2000-05-03,8550,유아,그림책,_나라별 그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=229734
2001,7,6,달님 안녕,하야시 아키코 글ㆍ그림,한림출판사,2001-04-02,8550,유아,0~3세,그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270976
2001,7,7,누가 내 머리에 똥 쌌어?,울프 에를브루흐 그림 / 베르너 홀츠바르트 글,사계절,2002-01-05,8550,유아,그림책,_나라별 그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=33471
2001,7,8,호밀밭의 파수꾼,J.D. 샐린저 지음 / 공경희 옮김,민음사,2001-05-30,7200,소설/시/희곡,영미소설,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=279711
2001,7,9,TOEIC 답이 보인다,김대균 지음,김영사,2001-03-05,13410,외국어,토익,실전,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=219172
2001,7,10,너 그거 아니?,디비딕닷컴 네티즌 지음 / 정훈이 그림,문학세계사,2001-07-20,7380,건강/취미/레저,취미기타,상식,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286635
2001,7,11,슈렉!,윌리엄 스타이그 글 그림 / 조은수 옮김,비룡소,2001-06-25,9900,유아,그림책,_나라별 그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284220
2001,7,12,영어의 벽을 뚫는 정찬용식 테이프 1 - 테이프 2개,정찬용 지음,넥서스,2001-05-01,7650,외국어,영어회화,생활영어,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=279936
2001,7,13,기차 ㄱ ㄴ ㄷ,박은영 글.그림,비룡소,1997-04-30,9900,유아,그림책,_나라별 그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=23999
2001,7,14,부자 아빠 가난한 아빠 1,로버트 기요사키 / 샤론 레흐트 지음 | 형선호 옮김,민음인,2000-02-10,10800,경제경영,재테크/투자,재테크/투자 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=220359
2001,7,15,이문열 이희재 만화 삼국지 1,나관중 원작 / 이문열 엮어옮김 / 이희재 만화,미래엔아이세움,2001-07-01,7650,어린이,초등 전학년,학습만화,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284179
2001,7,16,내가 아빠를 얼마나 사랑하는지 아세요?,샘 맥브래트니 글 / A.제람 그림 / 김서정 옮김,베틀북,1997-01-05,9900,유아,그림책,_나라별 그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=30490
2001,7,17,Collins Cobuild English Dictionary for Advanced Learners (3판),Harper Collins 편집부 엮음,Harper Collins,2001-01-01,30600,외국어,어학사전,영어사전,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=260682
2001,7,18,"춘아, 춘아, 옥단춘아, 네 아버지 어디 갔니?",이윤기 외 대담,민음사,2001-06-15,13500,인문학,교양 인문학,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=281438
2001,7,19,신비한 동물 사전,뉴트 스캐맨더 지음 / 최인자 옮김,문학수첩,2001-07-02,4050,소설/시/희곡,판타지/환상문학,외국판타지/환상소설,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284138
2001,7,20,예수는 없다,오강남 지음,현암사,2001-05-30,10800,종교/역학,기독교(개신교),기독교의 이해,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280728
2001,7,21,퀴디치의 역사,케닐워디 위스프 지음 / 최인자 옮김,문학수첩,2001-07-02,4050,소설/시/희곡,판타지/환상문학,외국판타지/환상소설,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284137
2001,7,22,사과가 쿵!,다다 히로시 글 그림,보림,1996-08-20,8100,유아,그림책,_나라별 그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=66989
2001,7,23,Hackers TOEFL Grammar,David Cho 지음,해커스어학연구소(Hackers),2000-12-01,13410,외국어,토플,Grammar,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=244910
2001,7,24,B급 좌파,김규항 지음,야간비행,2001-07-09,14250,사회과학,비평/칼럼,한국사회비평/칼럼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286529
2001,7,25,거울,원성 스님 지음,이레,2001-07-10,8100,종교/역학,불교,불교 문학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286787
2001,7,26,아무것도 못 버리는 사람,캐런 킹스턴 지음 / 최이정 옮김,도솔,2001-05-31,7650,자기계발,힐링,마음 다스리기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280282
2001,7,27,창가의 토토,구로야나기 테츠코 지음 / 김난주 옮김 / 이와사키 치히로 그림,프로메테우스,2004-01-29,9900,소설/시/희곡,일본소설,1950년대 이후 일본소설,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=233350
2001,7,28,싹싹싹,하야시 아키코 글 그림,한림출판사,2001-02-25,8550,유아,그림책,_나라별 그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=92328
2001,7,29,심심해서 그랬어,윤구병 글 / 이태수 그림,보리,1997-04-30,8100,유아,그림책,_나라별 그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=92021
2001,7,30,알도와 떠도는 사원 -상,김용규.김성규 지음,이론과실천,2001-07-10,7600,소설/시/희곡,판타지/환상문학,한국판타지/환상소설,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=285865
2001,7,31,강아지똥,권정생 글 / 정승각 그림,길벗어린이,1996-04-01,10800,유아,그림책,_나라별 그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=4855
2001,7,32,마르크스 평전,프랜시스 윈 지음 / 정영목 옮김,푸른숲,2001-06-15,18000,사회과학,정치학/외교학/행정학,정치인,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=282742
2001,7,33,아주 작은 차이,알리스 슈바르처 지음 / 김재희 옮김,이프(if),2001-05-17,8100,사회과학,여성학/젠더,여성문제,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=277239
2001,7,34,영어그림책으로 시작하는 자신만만 유아영어,서현주.이수정 외 지음 / 김린 감수,한울림어린이(한울림),2001-07-10,13500,좋은부모,교육/학습,언어/외국어 교육,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=285011
2001,7,35,단순한 열정,아니 에르노 지음 / 최정수 옮김,문학동네,2001-06-20,7650,소설/시/희곡,프랑스소설,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284321
2001,7,36,겅호!,켄 블랜차드 /셀든 보울즈 지음 / 조천제 외 옮김,21세기북스,2001-01-30,7650,경제경영,[경제경영 사상가 20인],켄 블랜차드,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=263828
2001,7,37,새 먼나라 이웃나라 (유럽편) - 전6권 세트,이원복 지음,김영사,1998-07-30,42660,어린이,사회/역사/철학,세계사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=73124
2001,7,38,우리 몸의 구멍,이혜리 그림 / 허은미 글,길벗어린이(천둥거인),2000-06-10,7650,유아,4~7세,유아교양,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=236635
2001,7,39,손이 나왔네,하야시 아키코 지음,한림출판사,1990-04-01,8550,유아,그림책,_나라별 그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=83266
2001,7,40,화인열전 1 (반양장),유홍준 지음,역사비평사,2001-03-31,14400,역사,조선사,조선시대 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=271975
2001,7,41,商道 1,최인호 지음,여백(여백미디어),2000-11-01,6750,소설/시/희곡,역사소설,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=254107
2001,7,42,프리에이전트의 시대,다니엘 핑크 지음 / 석기용 옮김,에코리브르,2004-12-20,16200,사회과학,사회학,사회학 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284044
2001,7,43,"다이고로야, 고마워",오타니 준코 지음 / 오타니 에이지 사진 / 구혜영 옮김,오늘의책,2001-04-12,6300,에세이,사진/그림 에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=273745
2001,7,44,마이너리그,은희경 지음,창비,2001-04-10,12600,소설/시/희곡,한국소설,2000년대 이후 한국소설,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=272952
2001,7,45,황금빛 똥을 누는 아기,최민희 지음,다섯수레,2001-04-15,11700,좋은부모,건강/환경,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=272920
2001,7,46,못 말리는 종이괴물,루이 트로댕 지음 / 김미선 옮김,미래엔아이세움,2000-07-20,6750,어린이,초등1~2학년,그림책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=243661
2001,7,47,해리 포터와 불의 잔 1 (무선),조앤 K. 롤링 지음 / 최인자 옮김,문학수첩,2000-11-01,7650,소설/시/희곡,판타지/환상문학,외국판타지/환상소설,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=231509
2001,7,48,해리 포터와 마법사의 돌 1 (무선),조앤 K. 롤링 지음 / 김혜원 옮김,문학수첩,1999-11-19,7200,소설/시/희곡,판타지/환상문학,외국판타지/환상소설,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=210689
2001,7,49,Word Smart 1+2 (MP3 CD 별매),애덤 로빈슨 & 프린스턴 리뷰팀 지음 / 넥서스사전편찬위원회 옮겨엮음,넥서스,2004-11-15,26550,외국어,영어어휘,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=263562
2001,7,50,사라진 뼈를 찾아라,에바 무어 지음 / 테드 에니크 그림 / 이강환 옮김,비룡소,2001-05-30,6300,어린이,과학/수학/컴퓨터,과학 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=279767
2001,7,51,부자 아빠 가난한 아빠 2,로버트 기요사키 지음 / 안진환 옮김,민음인,2012-11-27,13500,경제경영,재테크/투자,재테크/투자 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=231099
2001,7,52,바다 한가운데서,나다니엘 필브릭 지음 / 한영탁 옮김,중심,2001-06-07,8100,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=281382
2001,7,53,펄떡이는 물고기처럼,스티븐 C. 런딘 외 지음 / 유영만 옮김,한언출판사,2000-11-06,8010,경제경영,기업 경영,조직/인력/성과관리,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=253483
2001,7,54,소유의 종말,제레미 리프킨 지음 / 이희재 옮김,민음사,2001-05-25,19800,사회과학,미래학,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278587
