year,month,rank,book_name,author,pub_by,pub_day,price,genre1,genre2,genre3,book_url
2001,7,1,"춘아, 춘아, 옥단춘아, 네 아버지 어디 갔니?",이윤기 외 대담,민음사,2001-06-15,13500,인문학,교양 인문학,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=281438
2001,7,2,B급 좌파,김규항 지음,야간비행,2001-07-09,14250,사회과학,비평/칼럼,한국사회비평/칼럼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286529
2001,7,3,마르크스 평전,프랜시스 윈 지음 / 정영목 옮김,푸른숲,2001-06-15,18000,사회과학,정치학/외교학/행정학,정치인,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=282742
2001,7,4,아주 작은 차이,알리스 슈바르처 지음 / 김재희 옮김,이프(if),2001-05-17,8100,사회과학,여성학/젠더,여성문제,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=277239
2001,7,5,프리에이전트의 시대,다니엘 핑크 지음 / 석기용 옮김,에코리브르,2004-12-20,16200,사회과학,사회학,사회학 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284044
2001,7,6,소유의 종말,제레미 리프킨 지음 / 이희재 옮김,민음사,2001-05-25,19800,사회과학,미래학,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278587
2001,7,7,페니스 파시즘,노혜경.진중권 외 지음,개마고원,2001-07-02,8100,사회과학,비평/칼럼,한국사회비평/칼럼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=285377
2001,7,8,노무현과 국민사기극,강준만 지음,인물과사상사,2001-04-21,7380,사회과학,비평/칼럼,정치비평/칼럼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=275155
2001,7,9,호치민 평전,찰스 펜 지음 / 김기태 옮김,자인,2001-05-23,9900,역사,아시아사,동남아시아사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280036
2001,7,10,"마이클 조던, 나이키, 지구 자본주의",월터 레이피버 지음 / 이정엽 옮김,문학과지성사,2001-06-25,7200,사회과학,사회학,사회학 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=283744
2001,7,11,아웃사이더 04,김규항 김정란 홍세화 진중권 엮음,아웃사이더,2001-04-10,7200,사회과학,계간지/무크,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=274538
2001,7,12,이념의 속살,임지현 지음,삼인,2001-06-23,13500,사회과학,사회학,사회학 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284041
2001,7,13,교회가 죽어야 예수가 산다,한용상 지음,해누리기획,2001-05-20,7830,사회과학,비평/칼럼,한국사회비평/칼럼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278996
2001,7,14,보보스,데이비드 브룩스 지음 / 형선호 옮김,동방미디어,2001-01-10,8100,인문학,문화/문화이론,미국문화,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=261120
2001,7,15,헬렌 켈러 - A Life,도로시 허먼 지음 / 이수영 옮김,미다스북스,2001-07-07,13500,사회과학,여성학/젠더,여성인물,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=285121
2001,7,16,오래된 미래,헬레나 노르베리-호지 지음 / 김태언 외 옮김,녹색평론사,2003-12-27,7200,사회과학,사회사상/사회사상사,자유주의/신자유주의,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=277032
2001,7,17,한국의 정체성,탁석산 지음,책세상,2000-04-27,4410,사회과학,사회학,사회학 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=231777
2001,7,18,나무가 나무에게,더불어숲(신영복 홈페이지 이름) 지음,이후,2001-06-09,7200,사회과학,사회학,사회학 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280987
2001,7,19,허울뿐인 세계화,헬레나 노르베리-호지+ISEC 지음 / 이민아 옮김,따님,2000-10-01,7200,사회과학,사회사상/사회사상사,자유주의/신자유주의,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=252329
2001,7,20,독립된 지성은 존재하는가,김동춘 지음,삼인,2001-07-10,10800,사회과학,비평/칼럼,한국사회비평/칼럼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286285
2001,7,21,나의 생애 -상,레온 트로츠키 지음 / 박광순 옮김,범우사,2001-06-05,10800,사회과학,정치학/외교학/행정학,각국정치사정/정치사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280477
2001,7,22,모택동비록 - 상,산케이신문특별취재반 지음 / 임홍빈 옮김,문학사상사,2001-01-15,8820,대학교재/전문서적,사회과학계열,정치외교학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=262856
2001,7,23,보이지 않는 식민지,김민웅 지음,삼인,2001-05-18,9000,사회과학,비평/칼럼,한국사회비평/칼럼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278036
2001,7,24,대붕괴 신질서,프랜시스 후쿠야마 지음 / 한국경제신문 국제부 옮김 / 류화선 감수,한국경제신문,2001-07-10,14400,사회과학,미래학,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=285370
2001,7,25,자궁의 역사,라나 톰슨 지음 / 백영미 옮김,아침이슬,2001-07-10,8100,인문학,문화/문화이론,성(性)/성문화,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=285188
2001,7,26,학대 받는 아이들,이호철 지음,보리,2001-07-10,8100,사회과학,교육학,교육에세이,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286624
2001,7,27,민주노조 투쟁과 탄압의 역사,전국민주노동조합총연맹 편집부 엮음,현장에서미래를,2001-06-25,16200,사회과학,사회문제,노동문제,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284091
2001,7,28,이 겨레 살리는 통일,전국교직원노동조합통일교육위원회 지음,전국교직원노동조합,2001-06-09,7020,사회과학,교육학,교육 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=282010
2001,7,29,왜 똘레랑스인가,필리프 사시에 지음 / 홍세화 옮김,상형문자,2000-12-09,10800,사회과학,비평/칼럼,국제사회비평/칼럼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=260896
2001,7,30,문학과 예술의 사회사 1,아르놀트 하우저 지음 / 백낙청 외 옮김,창비,1999-03-05,13500,역사,세계사 일반,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=52162
