year,month,rank,book_name,author,pub_by,pub_day,price,genre1,genre2,genre3,book_url
2001,7,1,생명이 있는 것은 다 아름답다,최재천 지음,효형출판,2001-01-20,10800,과학,동물과 식물,동물 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=262445
2001,7,2,E=mc2,데이비드 보더니스 지음 / 김민희 옮김,생각의나무,2001-03-27,11700,과학,물리학,쉽게 배우는 물리학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=271839
2001,7,3,게놈,매트 리들리 지음 / 하영미 외 옮김,김영사,2001-01-05,13410,과학,생명과학,생명과학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=262075
2001,7,4,아무도 풀지 못한 문제,박영훈 지음,지호,2000-07-25,8010,과학,수학,쉽게 배우는 수학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=241659
2001,7,5,생명의 원리,한스 요나스 지음 / 한정선 옮김,아카넷,2001-06-20,23750,과학,과학의 이해,과학사상,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284217
2001,7,6,과학원리로 떠나는 창의력 여행,송은영 지음,한울림어린이(한울림),1998-11-27,6300,과학,발명/발견,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=13164
2001,7,7,암호의 세계,루돌프 키펜한 지음 / 김시형 옮김,이지북,2001-02-05,10800,역사,테마로 보는 역사,과학/기술사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=264869
2001,7,8,유전자가 세상을 바꾼다,김훈기 지음,궁리,2004-03-15,7650,과학,생명과학,생명과학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=232849
2001,7,9,전염병의 문화사,아노 카렌 지음 / 권복규 옮김,사이언스북스,2001-07-10,15300,과학,과학의 이해,과학사/기술사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286382
2001,7,10,조지 가모브 물리열차를 타다,조지 가모브 지음 / 승영조 옮김,승산,2001-06-05,7650,과학,물리학,쉽게 배우는 물리학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280559
2001,7,11,물리가 물렁물렁,닉 아놀드 지음 / 토니 드 솔스 그림,주니어김영사,1999-03-15,5310,어린이,과학/수학/컴퓨터,과학 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=189917
2001,7,12,나무도감,도토리 지음 / 임경빈.김준호.김용심 글 / 이제호.손경희 그림 / 임경빈 감수,보리,2001-04-15,45000,어린이,어린이 사전/도감,세밀화 도감,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=275164
2001,7,13,개미제국의 발견,최재천 지음,사이언스북스,1999-01-15,14850,과학,동물과 식물,곤충,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=5248
2001,7,14,사랑을 위한 과학,토머스 루이스 외 지음 / 김한영 옮김,사이언스북스,2001-04-17,16200,인문학,심리학/정신분석학,교양 심리학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=274531
2001,7,15,핀드혼 농장 이야기,핀드혼 공동체 지음 / 조하선 옮김,씨앗을뿌리는사람,2001-07-20,8550,종교/역학,세계의 종교,밀교/신비주의,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284500
2001,7,16,여성의 몸 여성의 지혜,크리스티안 노스럽 지음 / 강현주 옮김,한문화,2000-02-10,18000,사회과학,여성학/젠더,여성문제,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=222227
2001,7,17,개인적 지식,마이클 폴라니 지음 / 표재명 외 옮김,아카넷,2001-07-20,23750,과학,과학의 이해,과학사상,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=287419
2001,7,18,생물의 애옥살이,권오길 지음,지성사,2001-07-09,8500,과학,생명과학,생물학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286350
2001,7,19,수학공부 절대로 많이 하지 마라,한창수 지음,사회평론,2000-12-27,6120,청소년,청소년 수학/과학,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=260967
2001,7,20,모브,사이먼 가필드 지음 / 공경희 옮김,웅진지식하우스,2001-06-12,7200,과학,과학자의 생애,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=282704
2001,7,21,구석구석 인체 탐험,닉 아놀드 지음 / 이충호 옮김,주니어김영사,1999-05-27,5310,어린이,과학/수학/컴퓨터,우리 몸,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=194018
2001,7,22,쉽게 찾는 우리꽃 - 여름,김태정 지음,현암사,1994-07-01,13500,과학,동물과 식물,식물 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=85561
