year,month,rank,book_name,author,pub_by,pub_day,price,genre1,genre2,genre3,book_url
2001,7,1,The Blue Day Book 누구에게나 우울한 날은 있다,브래들리 트레버 그리브 지음 / 신현림 옮김,바다출판사,2005-01-03,7020,에세이,사진/그림 에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=276029
2001,7,2,거울,원성 스님 지음,이레,2001-07-10,8100,종교/역학,불교,불교 문학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286787
2001,7,3,"다이고로야, 고마워",오타니 준코 지음 / 오타니 에이지 사진 / 구혜영 옮김,오늘의책,2001-04-12,6300,에세이,사진/그림 에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=273745
2001,7,4,바다 한가운데서,나다니엘 필브릭 지음 / 한영탁 옮김,중심,2001-06-07,8100,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=281382
2001,7,5,느리게 산다는 것의 의미,피에르 쌍소 지음 / 김주경 옮김,동문선,2000-06-20,6300,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=237334
2001,7,6,웬디 수녀의 나를 사로잡은 그림들,웬디 베케트 지음 / 김현우 옮김,예담,2001-06-20,11700,예술/대중문화,미술,미술 이야기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284415
2001,7,7,단순한 기쁨,아베 피에르 지음 / 백선희 옮김,마음산책,2001-05-25,9900,종교/역학,가톨릭,가톨릭 문학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=279137
2001,7,8,선의 나침반 1,숭산스님 지음 / 현각 엮음 / 허문명 옮김,열림원,2001-03-15,6750,종교/역학,불교,불교 인물,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=269742
2001,7,9,딸 그리고 함께 오르는 산,제프리 노먼 지음 / 정영목 옮김,청미래,2001-05-30,9000,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=279726
2001,7,10,목수일기,목수 김씨 지음,웅진지식하우스,2001-07-12,7200,에세이,자연에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286760
2001,7,11,선의 나침반 2,숭산스님 지음 / 현각 엮음 / 허문명 옮김,열림원,2001-03-15,6750,종교/역학,불교,불교 인물,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=269741
2001,7,12,그림 읽어주는 여자,한젬마 지음,명진출판사,1999-09-05,8820,예술/대중문화,미술,미술 이야기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=205194
2001,7,13,유혹하는 모나리자,노성두 지음,한길아트,2001-06-15,15300,예술/대중문화,미술,미술 이야기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=282698
2001,7,14,느리게 산다는 것의 의미 2,피에르 쌍소 지음 / 김주경 옮김,동문선,2001-05-25,6300,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278318
2001,7,15,꾼,이용한 지음 / 심병우 사진,실천문학사,2001-05-21,10800,인문학,문화/문화이론,한국학/한국문화,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278591
2001,7,16,자전거여행,김훈 지음 / 이강빈 사진,생각의나무,2004-05-06,8820,에세이,한국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=244201
2001,7,17,나무가 나무에게,더불어숲(신영복 홈페이지 이름) 지음,이후,2001-06-09,7200,사회과학,사회학,사회학 일반,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280987
2001,7,18,얼굴 빨개지는 아이,장 자끄 상뻬 글 그림 / 김호영 옮김,열린책들,1999-05-30,7650,에세이,사진/그림 에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=194628
2001,7,19,조화로운 삶,헬렌 니어링 외 지음 / 류시화 옮김,보리,2000-04-15,8100,인문학,인문 에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=229634
2001,7,20,She Travels 쉬 트래블스 1,박정석 지음,효형출판,2001-06-15,7650,여행,중남미여행,중남미여행 가이드북,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=281370
2001,7,21,나는 그림에서 인생을 배웠다,한젬마 지음,명진출판사,2001-02-26,9720,예술/대중문화,미술,미술 이야기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=267165
2001,7,22,책그림책,헤르타 뮐러.밀란 쿤데라 외 지음 / 크빈트 부흐홀츠 그림 / 장희창 옮김,민음사,2001-02-20,15300,에세이,사진/그림 에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=266299
2001,7,23,지금 이 순간을 살아라,에크하르트 톨레 지음 / 노혜숙 외 옮김,양문,2001-05-04,7920,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=276146
2001,7,24,"아름다운 삶, 사랑 그리고 마무리",헬렌 니어링 지음 / 이석태 옮김,보리,1997-10-15,8100,에세이,명상에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=93675
2001,7,25,학문의 즐거움 (반양장),히로니카 헤이스케 지음 / 방승양 옮김,김영사,1992-12-01,6210,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=158130
2001,7,26,쥐의 똥구멍을 꿰맨 여공,베르나르 베르베르 지음 / 이세욱 옮김,열린책들,2001-06-15,8820,인문학,교양 인문학,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=281410
2001,7,27,50일간의 유럽 미술관 체험 1,이주헌 지음,학고재,1995-06-01,13500,예술/대중문화,미술,미술 이야기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=2038
2001,7,28,공지영의 수도원 기행,공지영 지음,김영사,2001-07-26,8910,에세이,한국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=288962
2001,7,29,내 심장을 향해 쏴라 1,마이클 길모어 지음 / 박선옥 옮김,집사재,2001-06-20,7200,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=281482
2001,7,30,무라카미 하루키의 위스키 성지여행,무라카미 하루키 지음 / 이윤정 옮김 / 무라카미 요오코 사진,문학사상사,2001-05-03,7020,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=276902
2001,7,31,아름다운 지상의 책 한권,이광주 지음,한길아트,2001-04-20,15300,인문학,책읽기/글쓰기,책읽기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=276460
2001,7,32,리눅스*그냥 재미로,리누스 토발즈 & 데이비드 다이아몬드 지음 / 안진환 옮김,한겨레출판,2001-04-20,9000,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=274630
2001,7,33,배는 그만두고 뗏목을 타지,허세욱 옮겨엮음,학고재,2001-01-05,8100,소설/시/희곡,중국소설,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=260995
2001,7,34,인생,김용택 지음,이레,2000-12-20,6300,에세이,한국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=259606
2001,7,35,핀드혼 농장 이야기,핀드혼 공동체 지음 / 조하선 옮김,씨앗을뿌리는사람,2001-07-20,8550,종교/역학,세계의 종교,밀교/신비주의,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=284500
2001,7,36,상하이에서 부치는 편지,부뢰 외 지음 / 유영하 옮김,민음사,2001-04-30,9000,소설/시/희곡,중국소설,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=276065
2001,7,37,잔잔한 웃음,김준영 지음,학고재,2001-07-10,9000,에세이,한국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286668
2001,7,38,오체 불만족,오토다케 히로타다 지음 / 전경빈 옮김,창해,2001-03-31,9000,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=273605
2001,7,39,나는 달린다,요쉬카 피셔 지음 / 선주성 옮김,궁리,2007-04-17,7650,건강/취미/레저,건강정보,건강에세이/건강정보,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=249275
2001,7,40,하늘 호수로 떠난 여행,류시화 지음,열림원,1997-05-10,8910,에세이,한국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=157223
2001,7,41,생물의 애옥살이,권오길 지음,지성사,2001-07-09,8500,과학,생명과학,생물학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286350
2001,7,42,장이,이용한 글 / 심병우 사진,실천문학사,2001-05-21,10800,인문학,문화/문화이론,한국학/한국문화,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278593
2001,7,43,바다로 간 게으름뱅이,정수복 외 지음,동아일보사,2001-05-30,9000,에세이,한국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=280383
2001,7,44,코코펠리는 쓸쓸하다,린다 김 지음,서울문화사,2001-07-15,7200,에세이,한국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=287106
2001,7,45,보거를 찾아 떠난 7일간의 특별한 여행,질베르 시누에 지음 / 홍세화 옮김,예담,2001-01-12,6750,에세이,외국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=261919
2001,7,46,그곳에선 나 혼자만 이상한 사람이었다,말로 모간 지음 / 류시화 옮김,정신세계사,2001-01-01,7020,종교/역학,명상/선,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=261717
2001,7,47,마음의 풍경,이해인 정채봉 외 지음 / 박항률 그림,이레,2000-08-10,7200,에세이,한국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=245170
2001,7,48,감옥으로부터의 사색,신영복 지음,돌베개,1998-08-01,11700,에세이,한국에세이,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=4551
